,_id,FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,cum_count
9859,9860,20210114,YORK REGION,2270,2465,19010,423,1.0
9833,9834,20210114,GREY BRUCE,2233,70,505,0,1.0
9840,9841,20210114,LAMBTON COUNTY,2242,217,1217,28,1.0
9839,9840,20210114,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,45,576,1,1.0
9838,9839,20210114,HURON PERTH,5183,123,808,25,1.0
9837,9838,20210114,HASTINGS & PRINCE EDWARD COUNTIES,2238,20,306,5,1.0
9836,9837,20210114,HALTON REGION,2236,973,5894,137,1.0
9834,9835,20210114,HALDIMAND-NORFOLK,2234,136,944,41,1.0
9832,9833,20210114,EASTERN ONTARIO,2258,446,1505,46,1.0
9842,9843,20210114,MIDDLESEX-LONDON,2244,1186,3389,91,1.0
9831,9832,20210114,DURHAM REGION,2230,871,8164,250,1.0
9830,9831,20210114,CITY OF OTTAWA,2251,1354,10092,397,1.0
9829,9830,20210114,CITY OF HAMILTON,2237,911,6713,209,1.0
9828,9829,20210114,CHATHAM-KENT,2240,114,828,4,1.0
9827,9828,20210114,BRANT COUNTY,2227,176,1122,8,1.0
9826,9827,20210114,ALGOMA DISTRICT,2226,46,82,0,1.0
9841,9842,20210114,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,25,670,54,1.0
9835,9836,20210114,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,60,588,28,1.0
9843,9844,20210114,NIAGARA REGION,2246,1282,4528,206,1.0
9851,9852,20210114,SIMCOE MUSKOKA DISTRICT,2260,674,3768,79,1.0
9844,9845,20210114,NORTH BAY PARRY SOUND DISTRICT,2247,17,159,1,1.0
9857,9858,20210114,WELLINGTON-DUFFERIN-GUELPH,2266,458,2869,56,1.0
9856,9857,20210114,WATERLOO REGION,2265,976,6673,180,1.0
9855,9856,20210114,TORONTO,3895,8670,60362,2104,1.0
9854,9855,20210114,TIMISKAMING,2263,5,79,1,1.0
9853,9854,20210114,THUNDER BAY DISTRICT,2262,76,593,21,1.0
9852,9853,20210114,SUDBURY AND DISTRICT,2261,97,282,2,1.0
9858,9859,20210114,WINDSOR-ESSEX COUNTY,2268,1783,8403,236,1.0
9850,9851,20210114,RENFREW COUNTY AND DISTRICT,2257,32,255,1,1.0
9849,9850,20210114,PORCUPINE,2256,26,132,9,1.0
9848,9849,20210114,PETERBOROUGH COUNTY-CITY,2255,50,397,5,1.0
9847,9848,20210114,PEEL REGION,2253,5535,41156,502,1.0
9846,9847,20210114,OXFORD ELGIN-ST.THOMAS,4913,356,1551,39,1.0
9845,9846,20210114,NORTHWESTERN,2249,32,194,0,1.0
